url,asin,product_name,price,image_url,description,rating_overall,review_count,specs_text,reviews_json,error,category
https://www.amazon.com/Levis-Mens-Jeans-Stretch-Panda/dp/B071XMGGK3/ref=sr_1_1?dib=eyJ2IjoiMSJ9.y4ImxJc7rMb8zj0228wLCXVYoi298JN7b9fXpOzchKeX3L7CpUv6PNULGNz2qU5HTM-9gnrJNIKvWsEKV4G_iXFwgq43Ou2mt_wwjIXK6OXWWsdpZVVVMmR9W0Fad6T5EMSkBbd9Vbm99wVKVVy-ffwR-i5yaxseGxNoYu6W54vtVf4urgEgv7L9jkYsFVhtWQCkhAQSi2h13ZO7nzA9VXL8ZS7PRz_5WB7V_7v4OhciaqWis_Xsodi7eCZjPzvcT5FQ7VmDAKB7lPP3G-wr6Z9IuZnPJoRHfLH22IPTE1E.is3wqojGI7hEF0Vdlk6Syz6vww8g8lKaam0xqRKpTHY&dib_tag=se&keywords=Levis+Mens+511+Slim+Fit+Jeans&qid=1771409031&sr=8-1,B071XMGGK3,Levi's Men's 511 Slim Fit Jeans (Also Available in Big & Tall),$48.55,https://m.media-amazon.com/images/I/81HRsNLuziL._AC_SX342_SY445_QL70_ML2_.jpg,,4.5 out of 5 stars,"(55,344)",,[],,Clothing
https://www.amazon.com/Nike-Short-Sleeve-Shirt-Black/dp/B08WT2YR61/ref=sr_1_1?dib=eyJ2IjoiMSJ9.N9znHeXV9NEljsK9cNsTUC1m4EilQ0tXZAB0xNtOVWfedl9JbEkkxYcLpeHj6jd4yAbVT6crqsLMMmJE4ilpeRaE2UhKdir3y2PH8IfB5a8kMsCL1M93zCSeqj1CwZ8yK18rmFroXewESPI8WsThWm6KANFr5LviplJV0g9yIDXSlE_axROOcgKKgHqA9MfoUK_IpDteO67HSqf3Av3g2Pq-iHUUWTN60vHUQKwiszX3O-rk-e41cGjMoGquRAc8Tzqh3DdqXmPUg6FVLpTnUGSMWafeW_UiYrNw-k6cD0E.2uThVTEuxep8Zxi82Pae8IcBZu-z1pySlApBbmFXn30&dib_tag=se&keywords=Nike+Mens+Sports+T+Shirt&qid=1771409044&sr=8-1,B08WT2YR61,Nike Men's Park Short Sleeve T Shirt,$29.76,https://m.media-amazon.com/images/I/51VCdmBI8XL._AC_SX342_SY445_QL70_ML2_.jpg,,4.5 out of 5 stars,"(3,881)",,[],,Clothing
https://www.amazon.com/adidas-Standard-Essentials-Fleece-Hoodie/dp/B08MJC9MWD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.D7qchuASU2tWzwiYHaJPmDxyvrPApDLGTS5IuNOZ6NwZvIajUGE8BXhb2Z1R8y6haQHAcDr7wTQ5XLKYHI9PMtryQnrd8ncInUXTTW2DmAAGbRyKjP8bAuiRJxMSHOEXozd8xpuAJHhON4HaAU6p5du0MOWfFodqJ3b63mCTzZuVuTgpi_gMU4LFs3ojUz40cgY8U3ov4tCg2YtiOOozkyc8sAr9D2uHMV-qnCfLF2SAcPmOGxvqfW4bfTPMcgkwZyA4OyyUvmwzi-6BdpphXhO4UJ4Yjt3bTS_VaGm2B7E.GCSo5xoZodxh48cZtS5zy5WJkxz6A3OfS0-yCdQ50Go&dib_tag=se&keywords=Adidas+Mens+Hoodie&qid=1771409055&sr=8-1,B08MJC9MWD,adidas Men's Essentials Fleece Hoodie,$35.00,https://m.media-amazon.com/images/I/613nX+P0xIL._AC_SX342_SY445_QL70_ML2_.jpg,,4.7 out of 5 stars,"(3,517)",,[],,Clothing
https://www.amazon.com/PUMA-Contrast-Sweatpants-Blackhigh-Medium/dp/B08WRC35KM/ref=sr_1_1?dib=eyJ2IjoiMSJ9.5m6zpOdiPhoEiqKzKJz0Ka8PuJ10DX5s0vgtMyIRuOLU3tjzZJaKvIUPuJb7OOAwXWppJo7Ovw0R5AJsJdT5EbHi5RnfbdoU6Mu9G78b2GCMawsLLhDsstHyAnz6O00jDfmF6KtJlKeK1ocLggnOU2f95hu-WB0Psu3r5ceAkqB43OVng0tfAiEVFjCf6SN6cCutYVqY52a6D6iFUjGbzLj1V7KkjWf7G8DilflaJ8YT76Zz5MjoBT9tFW-SfkG-8XTU30Z_xWleHC1NHEQpHhyhKzRkpytNdp2jP0yrFbA.1TjHdFNDmzHOhKoKSofSKguXbqs9oBzAuLC5ZGovN_k&dib_tag=se&keywords=Puma+Mens+Track+Pants&qid=1771409065&sr=8-1,B08WRC35KM,Puma Mens Contrast Pants (Available in Big & Tall),$45.00,https://m.media-amazon.com/images/I/41KXUJj9syL._AC_SX342_SY445_QL70_ML2_.jpg,,4.5 out of 5 stars,"(1,245)",,[],,Clothing
https://www.amazon.com/Under-Armour-Graphic-Graphite-X-Large/dp/B071P2P4JB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ftGC9EAXROzQDMld6TCgIVwb2lsv9FYQUm6CuUqkvC59T3PLNJCtNplbhxNszrTLl1-wkhLkjXML__0H0DJcXd-UXu1bkqXOhm1kB-1KFCJqUNtgJvMDh2T0eGoGeDnwChSSqtzRfaDeYegNf63WcS1W0ugQhc0eUHWdbWD1y1mH9d2N7HinlNdNBVKoVK1aKzbJ70RJeTSUIeR40PD6MKYWhSL_n5EZ5BLoTHfVOkko5Lfz0o_HezssM7xjcuHrAEKfZQrHHSzbhAqVSjuPsLRgj1luKEaxIacXGd08ezg.mKk5DS7o3k0RCEyABkHkvD_LtuKk80BXPoYvtpIs1XQ&dib_tag=se&keywords=Under+Armour+Mens+Shorts&qid=1771409072&sr=8-1,B071P2P4JB,Under Armour Men's Tech Golf Polo,$19.99,https://m.media-amazon.com/images/I/61mnUcpoJiL._AC_SX342_SY445_QL70_ML2_.jpg,,4.7 out of 5 stars,"(139,574)",,[],,Clothing
https://www.amazon.com/Calvin-Klein-Womens-Sleeved-Sheath/dp/B083JVTLG9/ref=sr_1_1?dib=eyJ2IjoiMSJ9.JgIuO_MYCHJWP0jQWwzpsfRukG2TI9UCaow0Ag2MChGwXJ_9nNi2avJIkJAYNqhqA0qdjzJBMOR059NcQcnPOKfkQg6BnIcWRU5Rj8BZlh2pqsECIvSP0Zn6puFGn8_Tv1J8ZKOxH6dbKDGm1Xgr-nczIvRmaoAv4pNBfLddapjbQ4ARbODP26PqmmoxrXRiklBDHJhAvbCXLXpZOLGYPTQwHAWld3Y3Jw7miYKt-6yOpabQ96ZFDH-xbGPzd515RH-4jjyCHRyZ_LQLLU1-7JGV3z2O10izqQeO9sXWEO4.BkJbUfz3F1S5uTgp2teGTFVp69hGWLD9Gpr9usBxKPg&dib_tag=se&keywords=Calvin+Klein+Womens+Dress&qid=1771409086&sr=8-1,B083JVTLG9,Calvin Klein Womens Tulip Short Sleeve Scuba Crepe Mini Dress,$99.95,https://m.media-amazon.com/images/I/41ZV9tUZJ1L._AC_SX342_SY445_QL70_ML2_.jpg,,4.5 out of 5 stars,"(1,217)",,[],,Clothing
https://www.amazon.com/BTFBM-Dresses-Elegant-Spaghetti-Printed/dp/B0DP6ZZY1D/ref=sr_1_1?dib=eyJ2IjoiMSJ9.TuXA6B5eFs_qGPsv1SIZjRsk47Nrx9EdVyVikiG2bHDKXV87YWnJSOgOaRO7KSPEW3Snyzm77lB8xbo5sR9IephciY_n9kebDimAvESPhzeusBX1w-e8BN_ZVKeGIMbeed40MUnSxhyPx3TF3M4RxXJD0DbJ4yNIpLbpXkYnFfPgwrjmkuTVZCWaIK-ADKgZP6JV1EsY39iBfIicC2is96u-zSeAIwRt2PfY0wIHbOD1icmWBigOnIP5WUhIhhqF6K0bRmffx8YNRw9WGG7EJRDQVF9Nbtc0jrrIkfS7irE.zSzklwl3cTF8Iqtf7NDRh_R9ik5mBbDhSaCKbU9mveM&dib_tag=se&keywords=Summer+Floral+Maxi+Dress+for+Women&qid=1771409095&sr=8-1,B0DP6ZZY1D,BTFBM Women Summer Floral Maxi Dresses Elegant Spaghetti Strap Dress Printed Party Dress Beach Long Dresses,$46.99,https://m.media-amazon.com/images/I/71gem062CHL._AC_SY445_SX342_QL70_ML2_.jpg,,4.5 out of 5 stars,"(1,445)",,[],,Clothing
https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTgyNDY2Nzg0NjQ3NTgzOjE3NzE0MDkxMDU6c3BfYXRmOjIwMDE1NzMwNTk1NzU5ODo6MDo6&url=%2FAmazon-Essentials-Legging-Pockets-X-Large%2Fdp%2FB0BG5YMKTQ%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.o0VJ2itVb7KyLVYF7R1uLt-oBn0kG6ISmyBRDIQ5b75GYRjrKi1HZjk_HhzKciZH-W4BMSOAfdZVGtcf5BLYtIXj41jGlA7gyZiaMiG7_z1cZ5y4meD-SXiS3h3IUKwgWtQIgMkrlRnfei8qWHzLcnB3y3Q6apUOS2uNCK4Lw7Xs2s28QIzNnKAMbF6i-zbpiKmKhQY-Np5QR7gUf7EBTxhBMa74qJEEYBsHLdS8JLY6hHOieUT3rNHM29LwPkv-G2PR0D3ofa6nBZoQii3ok0hG4MvUwLV1biVuG4kyCbk.RZQPWOfAZ-_Q5Tet3pfrozAiymtbWNokg6ylEW30MKY%26dib_tag%3Dse%26keywords%3DWomens%2BHigh%2BWaisted%2BLeggings%26qid%3D1771409105%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,,Amazon Essentials Women's Active Sculpt Workout Athleisure High Rise Capri Leggings with Pockets (Available in Plus Size),$14.90,https://m.media-amazon.com/images/I/61rARDY4qPL._AC_SX342_SY445_QL70_ML2_.jpg,,4.4 out of 5 stars,(401),,[],,Clothing
https://www.amazon.com/LILLUSORY-Sweaters-Crewneck-Oversized-Pullover/dp/B0BFL5MKKC/ref=sr_1_1?dib=eyJ2IjoiMSJ9.PVHPY0jegYzozMIAOd_4rfLFgsCowLq6bEsa7jlq9s48f6csiy3ZKeSzH-1Z6-SHuYXfN1xsR4bs86xPODGiIHSBxg49kgqZxrDy9srdFbldqui7SfEqKs5wQJMKMz0P7eG6z81WAidydzsNG1sAHbjlx6LHdPd3xHj4p04Tb3yP5T2m78mHETeZWljfvrefPZWa5PUmEjUgIJamJq9GjaRDXWbs5A96exUhkFQ6ToV_2jF7IixycXFuSm7GnXD-Wo3XsdONg-sBCsJKe9qdoSeN_C8qjXUD3fL5bXWDq9E.1rJxZlUhRzLqHMV9RsPbD9Tkaf3SBY7kuTols_FxdS8&dib_tag=se&keywords=Womens+Oversized+Sweater&qid=1771409115&sr=8-1,B0BFL5MKKC,LILLUSORY Women's Oversized Batwing Sweaters 2026 Fall Outfits Trendy Crewneck Knit Side Slit Fashion Pullover Tops,$19.99,https://m.media-amazon.com/images/I/61CvT1de7IL._AC_SY445_SX342_QL70_ML2_.jpg,,4.4 out of 5 stars,"(5,827)",,[],,Clothing
https://www.amazon.com/Wrangler-Authentics-Womens-Weathered-X-Large/dp/B012OV0QTW/ref=sr_1_1?dib=eyJ2IjoiMSJ9.uWoeqg9NXtYgN__zJmDX4SCcLG1pvb3tV-26ZXrUEdjvnJ7dVQe-ye9Czq5syXvd2H9HYtf9rjB_l5l-U9BXv4dbbwUJOO_y5s7cSmJpf4hO3PqVAPIOYzmYGe19bNrWA5wFjAUWbtIF_4jfFNlRB4EkyLEh_LCAXjl77N7r2PPfBEV9o_IxmmvuwtAhJdV-9bh5TqhGT-5jSfyvdVf58Nc6uLPmgaY-zG3fQuG_boA9sEyGIcOOtNB0Pe4Auu6CfXLcFP9RwR3T7QOumgcTeXfEBFQNC3zIWMMCFd2C-FQ.Ay_oguT4tpepFwFoEiBx3rtyYRp6vJ4JzJjUvZo5NWM&dib_tag=se&keywords=Womens+Denim+Jacket&qid=1771409125&sr=8-1,B012OV0QTW,Wrangler Authentics womens Stretch Denim Jacket,$39.99,https://m.media-amazon.com/images/I/913sL+OvALL._AC_SY445_SX342_QL70_ML2_.jpg,,4.6 out of 5 stars,"(22,989)",,[],,Clothing
https://www.amazon.com/Champion-Midweight-Comfortable-Sweatshirts-Black-407D55/dp/B01HIUT1B8/ref=sr_1_1?dib=eyJ2IjoiMSJ9.KQ89Ek_ANQCbhdMMozlCx2KriLJ5-kqZ4gz0jEEcDtxMDmjYyH2gZVyDNntZbFk_52kgSHaLrDE-g4ZNruLZqphaBB4kJlvhvO8cPE_Cbw_D4wAgFmmxawVtVNSO8tLVYW3wLWvhodwwmOTRnkhqvP3ACi0-juvEG83186hSgsGS0rEmDrbAOrM9vFhNd-91esXkx9jvG8ZaQkqaKdQhugaCRNb4d6maXus_VHMt2A9pLj5Rf3wa4OomaqovVtp7WwYB8P4m68et1UMh1QC30QXlOl0z_dbvholwx_gVi0M.CdeqAwGWhHiBChrm32yDcs1N4i2FF4hJvZgk0Iiy9sA&dib_tag=se&keywords=Champion+Unisex+Sweatshirt&qid=1771409133&sr=8-1,B01HIUT1B8,Champion Men's Fleece Midweight Crewneck Sweatshirt (Reg. Or Big & Tall),$33.75,https://m.media-amazon.com/images/I/41t0HicLRbL._AC_SX342_SY445_QL70_ML2_.jpg,,4.6 out of 5 stars,"(21,291)",,[],,Clothing
https://www.amazon.com/Runcati-T-Shirts-Graphic-Crewneck-Hawaiian/dp/B0FVSVWD8V/ref=sr_1_1?dib=eyJ2IjoiMSJ9.iAyagTOhaiL0BzcFn4IXQej_UIzFQKu7apeZ4H60v1xDuU98hzGaD4ttZImT-m7LMlMWtbLVLuHnfTJxVHkG4d7cDwH3DDaSwAn6SeBbWSlZGrCUCjc5bw0NTGVrTauThW26RVW0ELHBg-rY8HZTMAk2ShC7otJTXbS8E6DwZ-fU_Db_ExOfK5fvbXzgIjtFtqoOtejPZBtCE_qFVo27yyswRvWqTbiCYhFkWLY7OfeLrJej-mKUCHsJPG3e_-eYVDKu4GSRDYFgWrunwsxJ_tpf4frOC3oe2agKhe0Cjmg.LOH4Q-9ku8ucUT4r3oVZs9SpTHbTogojW959q-B4Ank&dib_tag=se&keywords=Graphic+Printed+T+Shirt&qid=1771409143&sr=8-1,B0FVSVWD8V,Runcati Mens Short Sleeve T-Shirts Graphic Crewneck Casual Printed Tee Summer Beach Hawaiian Vintage Shirts,$8.99,https://m.media-amazon.com/images/I/71eyxU9TxOL._AC_SY445_SX342_QL70_ML2_.jpg,,4.6 out of 5 stars,(54),,[],,Clothing
